tair name	gene symbol	gene description	GO terms (HSF)
AT3G08720 	ATPK19 ATPK2 ATS6K2 S6K2 	Encodes a ribosomal-protein S6 kinase. Gene expression is induced by cold and salt (NaCl).  Activation of AtS6k is regulated by 1-naphthylacetic acid and kinetin, at least in part, via a lipid kinase-dependent pathway. Phosphorylates specifically mammalian and plant S6 at 25 degrees C but not at 37 degrees C. Involved in translational up-regulation of ribosomal proteins. 	GO:0009408:response to heat|GO:0009266:response to temperature stimulus|GO:0033554:cellular response to stress|GO:0009628:response to abiotic stimulus|GO:0001666:response to hypoxia|GO:0036293:response to decreased oxygen levels|GO:0070482:response to oxygen levels|GO:0036294:cellular response to decreased oxygen levels|GO:0071453:cellular response to oxygen levels|GO:0071456:cellular response to hypoxia|GO:0051716:cellular response to stimulus|GO:0010557:positive regulation of macromolecule biosynthetic process|GO:0010628:positive regulation of gene expression|GO:0031328:positive regulation of cellular biosynthetic process|GO:0009891:positive regulation of biosynthetic process|GO:0070887:cellular response to chemical stimulus|GO:0010604:positive regulation of macromolecule metabolic process|GO:0051173:positive regulation of nitrogen compound metabolic process|GO:0031325:positive regulation of cellular metabolic process|GO:0009893:positive regulation of metabolic process
AT3G16510 	 	 	
AT5G61510 	 	 	GO:0033554:cellular response to stress|GO:0009628:response to abiotic stimulus|GO:0051716:cellular response to stimulus|GO:0070887:cellular response to chemical stimulus
AT3G09020 	 	 	
AT3G13950 	 	 	
AT3G26470 	 	 	
AT1G77660 	 	 	
AT5G66070 	AtARRE 	 	GO:0051716:cellular response to stimulus|GO:0070887:cellular response to chemical stimulus|GO:0042493:response to drug
AT1G02920 	ATGST11 ATGSTF7 ATGSTF8 GST11 GSTF7 	Encodes glutathione transferase belonging to the phi class of GSTs. Naming convention according to Wagner et al. (2002). 	GO:0002376:immune system process
AT5G15480 	 	 	
AT1G07400 	 	 	GO:0009408:response to heat|GO:0006457:protein folding|GO:0009266:response to temperature stimulus|GO:0033554:cellular response to stress|GO:0009628:response to abiotic stimulus|GO:0001666:response to hypoxia|GO:0036293:response to decreased oxygen levels|GO:0070482:response to oxygen levels|GO:0036294:cellular response to decreased oxygen levels|GO:0071453:cellular response to oxygen levels|GO:0071456:cellular response to hypoxia|GO:0051716:cellular response to stimulus|GO:0070887:cellular response to chemical stimulus|GO:0042493:response to drug
AT1G65250 	 	 	GO:0051716:cellular response to stimulus
AT5G53400 	BOB1 	Encodes BOBBER1 (BOB1), a non-canonical small heat shock protein required for both development and thermotolerance. BOB1 is cytoplasmic at basal temperatures but forms heat shock granules containing canonical small heat shock proteins at high temperatures. 	GO:0009408:response to heat|GO:0006457:protein folding|GO:0009266:response to temperature stimulus|GO:0009628:response to abiotic stimulus|GO:0010286:heat acclimation
AT1G67920 	 	 	
AT4G12400 	Hop3 	 	GO:0009408:response to heat|GO:0009266:response to temperature stimulus|GO:0009628:response to abiotic stimulus|GO:0010286:heat acclimation
AT1G63350 	 	 	
AT1G67800 	RGLG5 	 	GO:0051716:cellular response to stimulus|GO:0070887:cellular response to chemical stimulus
AT5G02430 	 	 	
AT5G03210 	AtDIP2 DIP2 	 	GO:0002376:immune system process
AT1G09070 	(AT)SRC2 AtSRC2 SRC2 	SRC2 specifically binds the peptide PIEPPPHH, and moves from ER to a vacuole fraction where it gets internalized. Involved in Protein Storage Vacuole targeting. 	GO:0033554:cellular response to stress|GO:0009628:response to abiotic stimulus|GO:0001666:response to hypoxia|GO:0036293:response to decreased oxygen levels|GO:0070482:response to oxygen levels|GO:0036294:cellular response to decreased oxygen levels|GO:0071453:cellular response to oxygen levels|GO:0071456:cellular response to hypoxia|GO:0051716:cellular response to stimulus|GO:0070887:cellular response to chemical stimulus
AT1G13550 	 	 	
AT3G28210 	PMZ SAP12 	Encodes a putative zinc finger protein (PMZ). 	GO:0042493:response to drug
AT1G31280 	AGO2 AtAGO2 	An Argonaute gene 	GO:0002376:immune system process
AT2G35930 	AtPUB23 PUB23 	Encodes a cytoplasmically localized U-box domain containing E3 ubiquitin ligase that is involved in the response to water stress and acts as a negative regulator of PAMP-triggered immunity. 	GO:0009628:response to abiotic stimulus|GO:0002376:immune system process|GO:0042493:response to drug
AT5G60800 	HIPP3 	 	
AT1G27720 	TAF4 TAF4B 	 	GO:0010557:positive regulation of macromolecule biosynthetic process|GO:0010628:positive regulation of gene expression|GO:0031328:positive regulation of cellular biosynthetic process|GO:0009891:positive regulation of biosynthetic process|GO:0010604:positive regulation of macromolecule metabolic process|GO:0051173:positive regulation of nitrogen compound metabolic process|GO:0031325:positive regulation of cellular metabolic process|GO:0045893:positive regulation of transcription, DNA-templated|GO:1902680:positive regulation of RNA biosynthetic process|GO:1903508:positive regulation of nucleic acid-templated transcription|GO:0009893:positive regulation of metabolic process|GO:0045935:positive regulation of nucleobase-containing compound metabolic process|GO:0051254:positive regulation of RNA metabolic process
AT5G08790 	anac081 ATAF2 	induced by wounding, belongs to a large family of putative transcriptional activators with NAC domain. 	GO:0009628:response to abiotic stimulus|GO:0010557:positive regulation of macromolecule biosynthetic process|GO:0010628:positive regulation of gene expression|GO:0031328:positive regulation of cellular biosynthetic process|GO:0009891:positive regulation of biosynthetic process|GO:0010604:positive regulation of macromolecule metabolic process|GO:0051173:positive regulation of nitrogen compound metabolic process|GO:0031325:positive regulation of cellular metabolic process|GO:0045893:positive regulation of transcription, DNA-templated|GO:1902680:positive regulation of RNA biosynthetic process|GO:1903508:positive regulation of nucleic acid-templated transcription|GO:0009893:positive regulation of metabolic process|GO:0042493:response to drug|GO:0045935:positive regulation of nucleobase-containing compound metabolic process|GO:0051254:positive regulation of RNA metabolic process
AT3G62260 	 	 	
AT4G16920 	 	 	GO:0051716:cellular response to stimulus
AT4G26070 	ATMEK1 MEK1 MKK1 NMAPKK 	Member of MAP Kinase Kinase.  Likely functions in a stress-activated MAPK pathway. Can phosphorylate the MAPK AtMPK4, in response to stress. Gets phosphorylated by MEKK1 in response to wounding. 	GO:0033554:cellular response to stress|GO:0009628:response to abiotic stimulus|GO:0051716:cellular response to stimulus|GO:0002376:immune system process|GO:0010604:positive regulation of macromolecule metabolic process|GO:0051173:positive regulation of nitrogen compound metabolic process|GO:0031325:positive regulation of cellular metabolic process|GO:0009893:positive regulation of metabolic process|GO:0042493:response to drug
AT1G72670 	iqd8 	 	
AT2G28570 	 	 	
AT2G32830 	PHT1;5 PHT5 	Encodes Pht1;5, a member of the Pht1 family of phosphate transporters which include: Pht1;1/At5g43350, Pht1;2/At5g43370, Pht1;3/At5g43360, Pht1;4/At2g38940, Pht1;5/At2g32830, Pht1;6/At5g43340, Pht1;7/At3g54700, Pht1;8/At1g20860, Pht1;9/At1g76430 (Plant Journal 2002, 31:341). 	
AT3G53810 	LecRK-IV.2 	 	
AT5G10410 	PICALM10b 	 	
AT3G21560 	BRT1 UGT84A2 	Encodes a protein with sinapic acid:UDP-glucose glucosyltransferase activity. Mutants defective in this gene are hyper-fluorescent (which accumulate in their trichomes a compound that is likely to be 3',5'-dimethoxynaringenin chalcone or sinapoyltriacetic acid lactone, potential products of the concerted action of 4-coumarate CoA ligase and chalcone synthase  on sinapic acid). 	GO:0009628:response to abiotic stimulus
AT1G61370 	 	 	GO:0002376:immune system process
AT2G20110 	 	 	
AT5G12020 	HSP17.6II 	 	GO:0009408:response to heat|GO:0006457:protein folding|GO:0009266:response to temperature stimulus|GO:0033554:cellular response to stress|GO:0009628:response to abiotic stimulus|GO:0001666:response to hypoxia|GO:0036293:response to decreased oxygen levels|GO:0070482:response to oxygen levels|GO:0036294:cellular response to decreased oxygen levels|GO:0071453:cellular response to oxygen levels|GO:0071456:cellular response to hypoxia|GO:0051716:cellular response to stimulus|GO:0070887:cellular response to chemical stimulus|GO:0042493:response to drug
AT1G30070 	 	 	
AT3G10420 	SPD1 	 	
AT3G13100 	ABCC7 ATMRP7 MRP7 	member of MRP subfamily 	
AT5G25920 	 	 	
AT1G53620 	 	 	GO:0033554:cellular response to stress|GO:0009628:response to abiotic stimulus|GO:0001666:response to hypoxia|GO:0036293:response to decreased oxygen levels|GO:0070482:response to oxygen levels|GO:0036294:cellular response to decreased oxygen levels|GO:0071453:cellular response to oxygen levels|GO:0071456:cellular response to hypoxia|GO:0051716:cellular response to stimulus|GO:0070887:cellular response to chemical stimulus
AT3G02770 	 	 	
AT1G29290 	 	 	GO:0033554:cellular response to stress|GO:0009628:response to abiotic stimulus|GO:0051716:cellular response to stimulus|GO:0042493:response to drug
AT5G22060 	ATJ2 J2 	Co-chaperonin similar to E. coli DnaJ 	GO:0009408:response to heat|GO:0006457:protein folding|GO:0009266:response to temperature stimulus|GO:0009628:response to abiotic stimulus
AT1G02450 	NIMIN-1 NIMIN1 	NIMIN1 modulates PR gene expression according the following model: NPR1 forms a ternary complex with NIMIN1 and TGA  factors upon SAR induction that binds to a positive regulatory cis-element of the PR-1 promoter, termed LS7. This leads to PR-1 gene induction. NIMIN1 decreases transcriptional activation, possibly through its EAR motif, which results in fine-tuning of PR-1 gene expression. 	GO:0002376:immune system process
AT3G09010 	 	 	
AT4G20380 	LSD1 	LSD1 monitors a superoxide-dependent signal and negatively regulates a plant cell death pathway. contains zinc-finger motifs. LSD1 negatively regulates a basal defense pathway that can act upstream or independently of both NIM1/NPR1 function and SA accumulation following avirulent or virulent pathogen challenge 	GO:0009266:response to temperature stimulus|GO:0033554:cellular response to stress|GO:0009628:response to abiotic stimulus|GO:0001666:response to hypoxia|GO:0036293:response to decreased oxygen levels|GO:0070482:response to oxygen levels|GO:0051716:cellular response to stimulus|GO:0070887:cellular response to chemical stimulus|GO:0002376:immune system process|GO:0042493:response to drug
AT1G10040 	 	 	
AT1G17600 	SOC3 	 	GO:0002376:immune system process
AT5G59820 	AtZAT12 RHL41 ZAT12 	Encodes a zinc finger protein involved in high light and cold acclimation. Overexpression of this putative transcription factor increases the expression level of 9 cold-responsive genes and represses the expression level of 15 cold-responsive genes, including CBF genes. Also, lines overexpressing this gene exhibits a small but reproducible increase in freeze tolerance. Because of the repression of the CBF genes by the overexpression of this gene, the authors speculate that this gene may be involved in negative regulatory circuit of the CBF pathway. 	GO:0009408:response to heat|GO:0009266:response to temperature stimulus|GO:0033554:cellular response to stress|GO:0009628:response to abiotic stimulus|GO:0001666:response to hypoxia|GO:0036293:response to decreased oxygen levels|GO:0070482:response to oxygen levels|GO:0036294:cellular response to decreased oxygen levels|GO:0071453:cellular response to oxygen levels|GO:0071456:cellular response to hypoxia|GO:0051716:cellular response to stimulus|GO:0070887:cellular response to chemical stimulus|GO:0042493:response to drug
AT1G01070 	UMAMIT28 	 	
AT5G22630 	ADT5 	Encodes a plastid-localized arogenate dehydratase involved in phenylalanine biosynthesis.  Not less than six genes encoding ADT were identi&#64257;ed in the Arabidopsis genome: ADT1 [At1g11790]; ADT2 [At3g07630]; ADT3 [At2g27820]; ADT4 [At3g44720]; ADT5 [At5g22630]; and ADT6 [At1g08250]. 	
AT3G04580 	EIN4 	Ethylene receptor, subfamily 2. Has serine kinase activity. 	GO:0051716:cellular response to stimulus|GO:0070887:cellular response to chemical stimulus
AT3G11840 	PUB24 	Encodes a U-box-domain-containing E3 ubiquitin ligase that acts as a negative regulator of PAMP-triggered immunity. 	GO:0002376:immune system process|GO:0042493:response to drug
AT5G02490 	AtHsp70-2 Hsp70-2 	 	GO:0009408:response to heat|GO:0006457:protein folding|GO:0009266:response to temperature stimulus|GO:0033554:cellular response to stress|GO:0061077:chaperone-mediated protein folding|GO:0009628:response to abiotic stimulus|GO:0051716:cellular response to stimulus|GO:0070887:cellular response to chemical stimulus
AT5G24590 	ANAC091 ANAC91 TIP 	Member of NAc protein family. Interacts with  turnip crinkle virus (TCV) capsid protein. Transcription factor  involved in regulating the defense response of Arabidopsis to TCV. 	GO:0033554:cellular response to stress|GO:0009628:response to abiotic stimulus|GO:0001666:response to hypoxia|GO:0036293:response to decreased oxygen levels|GO:0070482:response to oxygen levels|GO:0036294:cellular response to decreased oxygen levels|GO:0071453:cellular response to oxygen levels|GO:0071456:cellular response to hypoxia|GO:0051716:cellular response to stimulus|GO:0070887:cellular response to chemical stimulus|GO:0002376:immune system process
